,age,income,class,response,segment,events
293,30,97.32469101473802,0,0,0,5
294,42,73.61323288513876,0,0,0,5
295,16,97.04118882484129,0,1,1,6
296,66,88.0117776310354,0,1,1,5
297,71,116.75007515561721,0,0,0,4
298,44,278.5682692975838,2,0,1,1
299,54,209.9083911379267,2,0,1,2
300,42,111.4022497780241,0,1,1,3
301,30,143.9966307490689,0,1,1,3
302,68,276.8258178918615,2,0,1,3
303,40,51.25769524552224,0,0,0,2
304,20,124.79713192845473,0,0,0,4
305,21,115.19269158459862,0,1,1,6
306,24,25.939835459707695,0,1,1,0
307,67,86.28864384360249,0,0,0,5
308,25,99.65280036577003,0,0,0,6
309,27,47.08827820535894,0,1,1,3
310,26,118.43918115641003,0,1,1,5
311,64,79.81780115670058,0,0,0,3
312,63,139.8412027485943,0,1,1,3
313,25,54.157846885594005,0,0,0,4
314,63,68.08042706891075,0,0,0,5
315,45,88.15996489354394,0,0,0,2
316,55,111.64313176251726,1,1,2,4
317,31,238.00529738959395,1,0,1,4
318,23,198.8447637380294,0,0,0,5
319,32,32.27942742568194,0,0,0,5
320,34,385.75892892804865,2,0,1,1
321,20,158.44541190925256,0,1,1,3
322,26,94.81714456612971,0,1,1,5
323,30,46.10500169567223,0,1,1,3
324,45,86.82023038699923,0,1,1,4
325,36,211.0073730178439,1,1,2,5
326,21,123.64145236886012,0,0,0,5
327,39,91.29792437889706,0,1,1,5
328,20,191.72600105027095,0,0,0,3
329,20,125.503960601416,0,0,0,5
330,35,75.89714232909529,0,1,1,2
331,61,90.06670345884848,0,0,0,4
332,34,104.36030523338579,0,1,1,2
333,45,168.88515005370675,1,1,2,6
334,32,210.14380943483104,1,1,2,1
335,49,66.84170597425353,0,0,0,6
336,27,29.90411381145529,0,0,0,3
337,71,199.9962493068104,1,0,1,4
338,25,44.65015534171947,0,0,0,3
339,64,127.02854217695761,0,0,0,5
340,16,36.197249574826515,0,0,0,0
341,51,107.44029661773624,1,0,1,5
342,34,55.92082629756244,0,1,1,5
343,73,172.00847780828173,1,0,1,6
344,17,115.25787809167883,0,0,0,0
345,21,63.375861211861555,0,1,1,2
346,43,109.22255264828152,0,0,0,0
347,66,202.14209739145963,2,1,2,2
348,42,144.23174117688717,0,1,1,6
349,62,134.28451907767774,0,0,0,4
350,38,148.03692096847197,0,1,1,4
351,63,90.95729997513268,0,0,0,1
352,28,50.538081367623704,0,1,1,6
353,34,66.46283977484737,0,1,1,4
354,54,100.76594888885143,1,0,1,3
355,39,80.72880283255577,0,1,1,3
356,58,138.7493509494824,1,0,1,1
357,29,47.58952901135021,0,1,1,6
358,70,138.3337018062147,0,1,1,1
359,31,168.10483222167784,1,0,1,1
360,34,49.355933092276395,0,0,0,6
361,16,190.72778483824135,0,0,0,5
362,72,160.6236913290982,1,1,2,3
363,52,152.35950214989433,2,1,2,4
364,61,90.1529094262131,0,0,0,4
365,22,62.87178877270935,0,1,1,3
366,74,169.87888228547183,1,0,1,4
367,69,162.97554350762852,1,0,1,3
368,42,172.22134219203883,1,0,1,5
369,56,118.9686936376128,1,0,1,4
370,49,107.2577602374827,0,0,0,1
371,66,138.47387405951173,0,1,1,5
372,43,145.75310936603705,0,0,0,4
373,17,68.82011232946404,0,1,1,6
374,34,67.63505627920833,0,0,0,4
375,39,70.73954775711402,0,1,1,3
376,20,157.01237340412476,0,1,1,5
377,39,246.59566243727136,1,1,2,3
378,23,93.00246713031109,0,0,0,2
379,64,164.3530315855027,1,0,1,5
380,48,116.43456268160827,0,0,0,1
381,35,59.699807747225066,0,1,1,2
382,48,199.67457108075294,1,0,1,1
383,42,213.5898007247611,1,0,1,3
384,19,57.71161464453694,0,1,1,1
385,74,100.36459372441567,0,0,0,2
386,62,107.41415849825336,0,1,1,5
387,44,99.07565613781657,0,1,1,3
388,45,68.00572048923046,0,1,1,4
389,27,167.13583006222478,0,1,1,4
390,45,225.88715735272078,1,1,2,4
391,72,89.40586679412064,0,0,0,5
392,63,155.85638720115878,1,0,1,3
393,33,216.91158685456747,1,0,1,1
394,40,231.55897083405654,1,1,2,5
395,65,69.09004419836945,0,0,0,4
396,71,89.07576043447006,0,0,0,3
397,42,123.95465985285362,0,1,1,0
398,27,28.363065278147296,0,0,0,6
399,38,58.34715261536721,0,1,1,2
400,39,109.92194584657103,0,1,1,1
401,53,214.51383304255108,2,1,2,4
402,67,107.48554884430709,0,0,0,6
403,52,94.1795065915718,1,0,1,1
404,33,95.84882343821263,0,1,1,4
405,30,58.550728749466195,0,0,0,6
406,38,106.26569701164013,0,0,0,4
407,47,195.6269885915684,1,1,2,3
408,59,59.9813870501517,0,0,0,6
409,53,120.08330880520242,1,0,1,6
410,45,161.68111417503818,1,1,2,3
411,56,90.69057621030167,1,0,1,4
412,60,257.1488923524804,2,1,2,2
413,30,146.22464654472566,0,0,0,4
414,61,166.013499107546,1,0,1,5
415,62,198.02319193299246,1,0,1,1
416,47,85.54987902374518,0,1,1,2
417,56,187.27386339435958,2,0,1,2
418,53,252.35656045888078,2,1,2,4
419,38,145.01532789858302,0,0,0,3
420,24,51.162647067017005,0,1,1,4
421,39,75.74837329869933,0,1,1,5
422,23,148.32420761210386,0,1,1,6
423,23,141.4543591505519,0,0,0,3
424,24,79.45568544142094,0,1,1,5
425,26,198.08454978462476,0,1,1,2
426,23,77.44650258291037,0,0,0,3
427,16,131.17182876504026,0,1,1,1
428,36,93.54497849044823,0,1,1,5
429,66,142.34856394782597,0,1,1,4
430,61,130.25427682302058,0,1,1,6
431,16,17.464646339157273,0,1,1,5
432,46,252.60384666255652,2,0,1,5
433,65,251.27893797867483,2,0,1,4
434,19,45.41018929124552,0,0,0,1
435,42,121.79777265832668,0,0,0,2
436,63,159.12129340023853,1,1,2,6
437,54,148.9793909570704,1,0,1,4
438,38,123.61251167731827,0,1,1,3
439,38,96.46921274388669,0,1,1,6
440,44,201.1800464489057,1,0,1,5
441,52,67.03216953008952,0,0,0,3
442,70,383.4699805547053,2,0,1,2
443,20,33.37627945274659,0,0,0,1
444,46,209.23885352588078,1,0,1,1
445,48,77.57507845955038,0,1,1,2
446,19,136.8668891186333,0,1,1,5
447,70,160.9167589107419,1,1,2,0
448,29,156.38777720908928,0,0,0,1
449,35,84.57409349883628,0,0,0,3
450,23,113.62312984323107,0,1,1,2
451,42,111.4986148736591,0,0,0,3
452,49,108.34616730620246,0,0,0,1
453,22,135.924051435599,0,1,1,4
454,58,152.9911036457657,2,0,1,6
455,35,93.25995587066585,0,0,0,1
456,25,29.433625969641806,0,1,1,3
457,52,69.71295995919755,0,1,1,5
458,30,31.89584482572239,0,0,0,2
459,31,142.347376744624,0,1,1,1
460,24,266.5711559455095,1,1,2,2
461,33,126.37409270207301,0,0,0,3
462,19,167.3398055738501,0,1,1,1
463,57,241.32201734536423,2,0,1,5
464,41,190.66967768719005,1,1,2,4
465,69,172.30115462536656,1,0,1,3
466,38,53.08627790100781,0,1,1,3
467,25,73.22996908179488,0,1,1,6
468,16,238.90621870603744,1,0,1,5
469,26,61.445992182185456,0,0,0,1
470,41,183.01058104976607,1,0,1,5
471,57,60.03017928438239,0,1,1,1
472,61,82.65294435750386,0,1,1,6
473,43,61.43012897730036,0,0,0,5
474,18,112.76687113036135,0,1,1,4
475,64,181.10859937358052,1,0,1,5
476,35,113.52643484553755,0,0,0,1
477,73,94.0009781810302,0,1,1,4
478,31,112.45434395837074,0,1,1,4
479,54,104.27248720474788,1,1,2,5
480,31,40.16823108801476,0,1,1,4
481,69,156.20885507337687,1,0,1,1
482,74,288.13239402689965,2,0,1,4
483,61,117.0517416224952,0,0,0,0
484,59,93.88865253250442,1,0,1,3
485,47,146.4898772850554,0,1,1,3
486,25,76.30977899131177,0,0,0,1
487,53,225.7578718794222,2,1,2,4
488,65,300.2541272239154,2,0,1,4
489,18,51.926960663436965,0,0,0,5
490,22,47.23775669917572,0,0,0,1
491,55,209.64359885821906,2,1,2,3
492,27,53.32045660323493,0,1,1,2
493,20,61.40355697491772,0,1,1,2
494,63,64.27240525813804,0,1,1,1
495,57,318.83520109516206,2,0,1,2
496,48,70.40903627796476,0,0,0,3
497,35,172.0987974606267,1,0,1,1
498,60,141.4807899379382,0,0,0,2
499,63,190.47659063268384,1,0,1,2
500,74,178.93532960274086,1,0,1,2
501,59,105.51322926571956,1,0,1,5
502,24,176.44615915281858,0,0,0,3
503,18,103.8655466522412,0,1,1,3
504,28,106.02223603611077,0,0,0,2
505,50,61.394008466028396,0,1,1,1
506,67,123.52550519546764,0,1,1,3
507,45,187.377139509373,1,1,2,3
508,34,94.77646508438865,0,0,0,2
509,42,173.44238242530355,1,1,2,1
510,73,171.5069460882188,1,1,2,2
511,61,75.87504434756657,0,1,1,5
512,23,55.049760528054875,0,0,0,5
513,52,88.68597898066714,1,1,2,2
514,31,90.87643617646005,0,1,1,4
515,55,191.9487729590784,2,0,1,4
516,41,202.98317984382234,1,1,2,6
517,71,133.78839690403498,0,0,0,2
518,19,48.363396942083924,0,0,0,1
519,51,77.78792207914819,1,1,2,6
520,57,158.2098414329065,2,1,2,1
521,40,91.02421391517943,0,1,1,3
522,67,158.48861779580773,1,0,1,4
523,53,100.30409882180689,1,0,1,1
524,57,209.26366680755893,2,0,1,3
525,56,135.91369598635268,1,1,2,2
526,37,61.65452715882117,0,0,0,5
527,74,87.45779731336316,0,0,0,4
528,43,115.00239076091421,0,1,1,3
529,60,150.18147606206247,1,1,2,3
530,40,70.36395583747847,0,1,1,4
531,31,69.95122146572156,0,1,1,5
532,24,216.36942946551727,1,0,1,1
533,52,189.5465324314991,2,1,2,5
534,37,61.563963994458106,0,0,0,5
535,61,185.52555919082488,1,0,1,0
536,69,125.0687083860484,0,1,1,3
537,23,166.92158239280656,0,1,1,6
538,54,114.03888054652715,1,0,1,2
539,35,180.2281380924481,1,1,2,4
540,65,134.02033953836224,0,1,1,2
541,37,74.34928268157017,0,0,0,4
542,28,32.83266372469819,0,0,0,6
543,37,57.52242588574034,0,0,0,1
544,47,167.58356334247335,1,1,2,6
545,57,225.7952675853788,2,1,2,3
546,53,105.35383959027804,1,0,1,0
547,60,121.16960070338983,0,0,0,4
548,59,122.07342700923257,1,1,2,3
549,44,74.57245151400676,0,1,1,3
550,23,222.6003778942589,1,0,1,1
551,20,95.83835399962295,0,1,1,2
552,71,169.89376781091255,1,1,2,5
553,39,160.75521033502386,1,1,2,1
554,57,305.58530764680995,2,1,2,5
555,73,166.12521624440325,1,0,1,2
556,38,115.8704557079005,0,0,0,4
557,52,113.35852785253442,1,0,1,3
558,18,225.02333836960082,1,0,1,3
559,39,127.85368104215294,0,0,0,5
560,60,135.3667852381291,0,0,0,1
561,31,49.83082230425332,0,1,1,5
562,43,122.13979007142063,0,0,0,5
563,37,141.12435817769546,0,1,1,3
564,55,66.91703549153272,0,0,0,2
565,59,105.27609772726056,1,1,2,1
566,66,239.72333055307885,2,0,1,4
567,33,126.73004690678772,0,1,1,6
568,66,133.4020763933778,0,0,0,6
569,35,57.04572897882727,0,1,1,2
570,49,84.21325116465351,0,1,1,2
571,53,139.6792138997219,1,1,2,5
572,28,74.96259437385247,0,0,0,3
573,17,236.54778562433762,1,1,2,2
574,65,213.64719523624197,2,0,1,4
575,33,108.11003778274537,0,0,0,2
576,25,36.95203095677229,0,0,0,3
577,64,144.66895137712578,0,1,1,3
578,71,85.72452296472245,0,0,0,6
579,44,61.123378397620286,0,1,1,3
580,20,149.16587588806243,0,0,0,1
581,49,114.85925052017383,0,0,0,1
582,55,74.1578445889374,0,0,0,5
583,36,126.75169201325227,0,1,1,1
584,71,149.25428976038694,0,1,1,6
585,49,57.784758391263914,0,1,1,3
586,49,91.1210963993475,0,1,1,1
587,66,108.830752364658,0,0,0,1
588,43,44.99061000285195,0,0,0,3
589,54,71.37328503408406,0,0,0,4
590,44,205.74577926115967,1,1,2,3
591,57,162.49687015047317,2,0,1,0
592,44,49.55354327073796,0,1,1,2
593,39,48.49954762407437,0,0,0,6
594,69,266.0788254305058,2,1,2,2
595,30,136.09779456382847,0,1,1,4
596,34,163.44643129365758,1,1,2,3
597,68,68.57728925792662,0,0,0,5
598,71,102.49497903849374,0,1,1,2
599,65,171.34064416254293,1,0,1,3
600,21,58.42433363259449,0,1,1,2
601,58,218.4233955749749,2,1,2,5
602,58,126.67598331833209,1,1,2,5
603,50,257.07178144136475,2,0,1,4
604,62,225.44642898594958,2,1,2,5
605,49,147.2910619012129,0,0,0,3
606,17,176.93971192869006,0,0,0,5
607,43,102.04202194373136,0,0,0,2
608,40,178.9842294255992,1,0,1,3
609,64,77.66397009550226,0,0,0,2
610,69,304.45945724269643,2,1,2,5
611,44,94.96615946010469,0,1,1,1
612,26,100.46592248709982,0,0,0,2
613,48,112.277764578817,0,0,0,5
614,47,83.45891819658519,0,0,0,3
615,66,92.09276352490318,0,1,1,3
616,20,98.06933644285712,0,1,1,2
617,39,167.59488266710125,1,0,1,3
618,18,196.54442802996948,0,0,0,3
619,40,54.22958343288294,0,1,1,5
620,51,124.3673701779659,1,0,1,4
621,62,69.65006165248818,0,1,1,1
622,61,102.54222733244737,0,1,1,2
623,18,167.18072258571044,0,0,0,4
624,33,178.1829916450434,1,0,1,5
625,23,176.14402140658143,0,1,1,2
626,62,102.55466819975555,0,1,1,3
627,59,157.57302610913428,2,0,1,0
628,25,50.01023341305506,0,1,1,3
629,22,169.91252153496262,0,1,1,4
630,31,60.4045127223168,0,0,0,3
631,34,156.68038864211456,1,0,1,4
632,48,113.96903583219593,0,1,1,3
633,21,158.2317031599281,0,1,1,1
634,72,147.2626537007793,0,1,1,2
635,53,82.41551308747694,1,1,2,3
636,64,101.74827443478655,0,0,0,5
637,34,115.47170201795413,0,1,1,1
638,32,90.46488665449897,0,0,0,2
639,18,233.19026542102725,1,0,1,1
640,53,105.91913853376073,1,1,2,5
641,58,155.41030375597578,2,0,1,2
642,71,236.49815575158775,2,1,2,1
643,52,208.25930075573285,2,0,1,2
644,49,65.98592494024726,0,0,0,1
645,46,133.84072696916868,0,0,0,0
646,24,202.518634282686,1,1,2,4
647,68,111.20270896490267,0,0,0,4
648,47,139.02460991818936,0,1,1,4
649,43,120.76401615857141,0,1,1,3
650,33,91.28563206541529,0,0,0,3
651,33,157.8659281422888,1,0,1,3
652,62,105.18067358022643,0,0,0,2
653,51,157.8170404234724,2,0,1,4
654,40,43.95478346508878,0,1,1,5
655,38,132.00136566100576,0,1,1,4
656,45,64.2621277495243,0,1,1,4
657,72,90.78477539042453,0,1,1,6
658,54,61.72489900653986,0,0,0,3
659,52,56.35158322935354,0,1,1,4
660,45,239.47008835947327,1,1,2,5
661,65,158.3109061071414,1,0,1,5
662,34,146.9525041562366,0,1,1,4
663,29,109.60288969164756,0,1,1,3
664,70,274.04743070258917,2,1,2,3
665,46,182.6093098022451,1,0,1,0
666,50,199.97718536104864,2,0,1,6
667,43,108.22920943875963,0,1,1,1
668,16,29.53284264982647,0,0,0,5
669,51,84.35120480666953,1,0,1,3
670,38,139.16165181524246,0,1,1,3
671,49,135.68006829462894,0,0,0,1
672,18,155.88625562848716,0,0,0,5
673,50,176.17489843837788,2,1,2,6
674,37,72.63262678815653,0,1,1,4
675,30,111.27393398003055,0,1,1,1
676,53,320.2572970376665,2,1,2,5
677,33,134.0666286027224,0,0,0,5
678,59,120.91040496162152,1,0,1,3
679,63,214.14163915431266,2,0,1,4
680,36,114.2374864043706,0,0,0,1
681,27,154.40447466082185,0,1,1,5
682,43,171.73571713879488,1,0,1,5
683,56,78.72365081372061,1,1,2,5
684,38,159.08765058909066,1,0,1,6
685,41,95.40612974800865,0,0,0,5
686,26,103.22441580672793,0,1,1,5
687,69,87.16853582002318,0,1,1,4
688,29,85.25366880998212,0,1,1,3
689,50,96.37017581263088,1,1,2,1
690,35,117.61683245382439,0,1,1,2
691,58,203.32387197561064,2,0,1,5
692,41,110.13139213875219,0,0,0,3
693,41,101.08604190596067,0,0,0,1
694,47,128.42423525729595,0,0,0,2
695,21,207.14327488402583,1,0,1,5
696,22,70.49980291798394,0,0,0,4
697,64,89.17491844383468,0,1,1,3
698,44,146.27472545624403,0,1,1,6
